"Feature Name","ID","Class","County","State","Latitude","Longitude","Ele(ft)","Map","BGN Date","Entry Date"
Adams County,198116,Civil,Adams,CO,395225N,1042016W,5167,Roper School,,01-FEB-1993
Agate Division,1935392,Civil,Elbert,CO,392354N,1035708W,5584,Agate,,26-SEP-2001
Aguilar Division,1935393,Civil,Las Animas,CO,373128N,1043057W,6368,Pryor SE,,26-SEP-2001
Akron Division,1935394,Civil,Washington,CO,401119N,1031554W,4629,Fremont Butte,,26-SEP-2001
Alamosa County,198117,Civil,Alamosa,CO,373422N,1054718W,7533,Hooper SE,,01-FEB-1993
Alamosa Division,1935395,Civil,Alamosa,CO,372805N,1054954W,7536,Alamosa East,,26-SEP-2001
Antonito Division,1935396,Civil,Conejos,CO,370429N,1055344W,7739,Lobatos,,26-SEP-2001
Arapahoe County,198118,Civil,Arapahoe,CO,393859N,1042021W,5558,Strasburg,,01-FEB-1993
Arboles Division,1935397,Civil,Archuleta,CO,371303N,1071947W,6945,Chimney Rock,,26-SEP-2001
Archuleta County,198119,Civil,Archuleta,CO,371137N,1070254W,7080,Oakbrush Hill,,01-FEB-1993
Arriba Division,1935398,Civil,Lincoln,CO,392530N,1031924W,5174,Arriba NE,,26-SEP-2001
Aspen Division,1935400,Civil,Pitkin,CO,391205N,1064300W,9964,Thimble Rock,,26-SEP-2001
Ault Division,1935401,Civil,Weld,CO,404658N,1044400W,5387,Eastman Creek South,,26-SEP-2001
Avondale Division,1935402,Civil,Pueblo,CO,381320N,1042251W,4619,Vineland,,26-SEP-2001
Baca County,198120,Civil,Baca,CO,371909N,1023338W,4354,Bisonte,,01-FEB-1993
Bald Mountain Division,1935403,Civil,Boulder,CO,400100N,1052822W,8671,Gold Hill,,26-SEP-2001
Basalt Division,1935404,Civil,Eagle,CO,392516N,1065110W,11256,Red Creek,,26-SEP-2001
Bayfield Division,1935405,Civil,La Plata,CO,372248N,1073513W,7716,Vallecito Reservoir,,26-SEP-2001
Beaubien and Miranda Grant,169597,Civil,Colfax,NM,364124N,1044919W,7296,Dawson,,31-AUG-1992
Bent County,198121,Civil,Bent,CO,375718N,1030418W,4026,Toonerville NE,,01-FEB-1993
Berthoud Division,1935406,Civil,Larimer,CO,401833N,1050907W,5197,Carter Lake Reservoir,,26-SEP-2001
Black Forest-Peyton Division,1935407,Civil,El Paso,CO,390238N,1042630W,6847,Peyton,,26-SEP-2001
Blanca Division,1935408,Civil,Costilla,CO,372639N,1052403W,8136,Fort Garland,,26-SEP-2001
Boulder County,198122,Civil,Boulder,CO,400533N,1052128W,6785,Boulder,,01-FEB-1993
Boulder Division,1935409,Civil,Boulder,CO,400028N,1051400W,5266,Niwot,,26-SEP-2001
Branson Division,1935410,Civil,Las Animas,CO,371029N,1035040W,5728,Box Ranch,,26-SEP-2001
Breckenridge Division,1935411,Civil,Summit,CO,393040N,1060228W,10029,Frisco,,26-SEP-2001
Brighton Division,1935412,Civil,Adams,CO,395631N,1044719W,5082,Brighton,,26-SEP-2001
Broomfield County,1945881,Civil,Broomfield,CO,395715N,1050310W,5348,Lafayette,,14-NOV-2001
Broomfield Division,1945898,Civil,Broomfield,CO,395715N,1050310W,5348,Lafayette,,15-NOV-2001
Brush Division,1935413,Civil,Morgan,CO,401441N,1033635W,4236,Miller Ranch,,26-SEP-2001
Buena Vista Division,1935414,Civil,Chaffee,CO,385255N,1061427W,10108,Harvard Lakes,,26-SEP-2001
Burlington Division,1935415,Civil,Kit Carson,CO,391832N,1021417W,4134,Peconic,,26-SEP-2001
Campo Division,1935416,Civil,Baca,CO,370638N,1023416W,4327,Campo,,26-SEP-2001
Castle Rock Division,1935418,Civil,Douglas,CO,391528N,1045446W,6831,Dawson Butte,,26-SEP-2001
Cañon City Division,1935417,Civil,Fremont,CO,382716N,1051353W,5358,Canon City,,26-SEP-2001
Cedaredge Division,1935419,Civil,Delta,CO,385618N,1075744W,6457,Cedaredge,,26-SEP-2001
Center Division,1935420,Civil,Saguache,CO,374928N,1061811W,8012,Twin Mountains SE,,26-SEP-2001
Central City Division,1935421,Civil,Gilpin,CO,395127N,1053121W,9577,Central City,,26-SEP-2001
Central Jefferson Division,1935422,Civil,Jefferson,CO,393731N,1051918W,7247,Evergreen,,26-SEP-2001
Chaffee County,198123,Civil,Chaffee,CO,384449N,1061139W,10174,Mount Antero,,01-FEB-1993
Cheraw Division,1935423,Civil,Otero,CO,380658N,1033047W,4140,Cheraw,,26-SEP-2001
Cheyenne County,198124,Civil,Cheyenne,CO,384941N,1023612W,4383,Firstview,,01-FEB-1993
Cheyenne Mountain Division,1935424,Civil,El Paso,CO,384213N,1045326W,7966,Mount Big Chief,,26-SEP-2001
Cheyenne Wells Division,1935425,Civil,Cheyenne,CO,384951N,1021738W,4173,Cheyenne Wells,,26-SEP-2001
City of Alamosa,2409673,Civil,Alamosa,CO,372830N,1055237W,7546,Alamosa West,,11-MAR-2008
City of Arvada,2409737,Civil,Jefferson,CO,394956N,1050904W,5528,Golden,,11-MAR-2008
City of Aspen,2409743,Civil,Pitkin,CO,391142N,1065013W,7930,Aspen,,11-MAR-2008
City of Aurora,2409757,Civil,Arapahoe,CO,394156N,1044714W,5568,Fitzsimons,,11-MAR-2008
City of Black Hawk,2409856,Civil,Gilpin,CO,394815N,1052942W,8159,Black Hawk,,11-MAR-2008
City of Boulder,2409883,Civil,Boulder,CO,400130N,1051508W,5269,Boulder,,11-MAR-2008
City of Brighton,2409911,Civil,Adams,CO,395818N,1044747W,5023,Brighton,,11-MAR-2008
City of Broomfield,2409919,Civil,Broomfield,CO,395715N,1050310W,5348,Lafayette,,11-MAR-2008
City of Brush,2409926,Civil,Morgan,CO,401536N,1033756W,4236,Brush West,,11-MAR-2008
City of Burlington,2409946,Civil,Kit Carson,CO,391815N,1021617W,4170,Burlington,,11-MAR-2008
City of Castle Pines,2500981,Civil,Douglas,CO,392745N,1045214W,6332,Castle Rock North,,03-OCT-2008
City of Cañon City,2409976,Civil,Fremont,CO,382635N,1051313W,5312,Canon City,,11-MAR-2008
City of Centennial,2409422,Civil,Arapahoe,CO,393533N,1045203W,5722,Parker,,11-MAR-2008
City of Central City,2409427,Civil,Gilpin,CO,394741N,1053043W,8701,Central City,,11-MAR-2008
City of Cherry Hills Village,2409443,Civil,Arapahoe,CO,393815N,1045653W,5423,Englewood,,11-MAR-2008
City of Colorado Springs,2410198,Civil,El Paso,CO,385203N,1044538W,6322,Colorado Springs,,11-MAR-2008
City of Commerce City,2410212,Civil,Adams,CO,394829N,1045436W,5194,Commerce City,,11-MAR-2008
City of Cortez,2410236,Civil,Montezuma,CO,372101N,1083436W,6178,Cortez,,11-MAR-2008
City of Craig,2410255,Civil,Moffat,CO,403101N,1073319W,6194,Craig,,11-MAR-2008
City of Cripple Creek,2410265,Civil,Teller,CO,384448N,1051106W,9518,Cripple Creek South,,11-MAR-2008
City of Dacono,2410283,Civil,Weld,CO,400343N,1045654W,5105,Frederick,,11-MAR-2008
City of Delta,2410319,Civil,Delta,CO,384522N,1080438W,4931,North Delta,,11-MAR-2008
City of Denver,2410324,Civil,Denver,CO,394544N,1045233W,5285,Commerce City,,11-MAR-2008
City of Durango,2410374,Civil,La Plata,CO,371557N,1075242W,6548,Durango West,,11-MAR-2008
City of Edgewater,2410399,Civil,Jefferson,CO,394503N,1050345W,5367,Arvada,,11-MAR-2008
City of Englewood,2410441,Civil,Arapahoe,CO,393849N,1045939W,5348,Englewood,,11-MAR-2008
City of Evans,2410467,Civil,Weld,CO,402044N,1044619W,4682,Milliken,,11-MAR-2008
City of Federal Heights,2410493,Civil,Adams,CO,395154N,1050056W,5413,Arvada,,11-MAR-2008
City of Florence,2410510,Civil,Fremont,CO,382301N,1050641W,5200,Florence,,11-MAR-2008
City of Fort Collins,2410526,Civil,Larimer,CO,403252N,1050356W,5000,Fort Collins,,11-MAR-2008
City of Fort Lupton,2410528,Civil,Weld,CO,400459N,1044809W,4915,Fort Lupton,,11-MAR-2008
City of Fort Morgan,2410529,Civil,Morgan,CO,401514N,1034727W,4321,Fort Morgan,,11-MAR-2008
City of Fountain,2410535,Civil,El Paso,CO,384118N,1044058W,5558,Fountain,,11-MAR-2008
City of Fruita,2410553,Civil,Mesa,CO,390917N,1084350W,4508,Fruita,,11-MAR-2008
City of Glendale,2410598,Civil,Arapahoe,CO,394213N,1045606W,5351,Englewood,,11-MAR-2008
City of Glenwood Springs,2410605,Civil,Garfield,CO,393244N,1072005W,5892,Glenwood Springs,,11-MAR-2008
City of Golden,2410611,Civil,Jefferson,CO,394426N,1051243W,5787,Morrison,,11-MAR-2008
City of Grand Junction,2410631,Civil,Mesa,CO,390516N,1083403W,4652,Grand Junction,,11-MAR-2008
City of Greeley,2410654,Civil,Weld,CO,402454N,1044614W,4875,Bracewell,,11-MAR-2008
City of Greenwood Village,2410661,Civil,Arapahoe,CO,393655N,1045447W,5633,Highlands Ranch,,11-MAR-2008
City of Gunnison,2410674,Civil,Gunnison,CO,383244N,1065521W,7703,Gunnison,,11-MAR-2008
City of Holyoke,2410781,Civil,Phillips,CO,403455N,1021751W,3734,Holyoke,,11-MAR-2008
City of Idaho Springs,2410092,Civil,Clear Creek,CO,394434N,1053043W,7526,Idaho Springs,,11-MAR-2008
City of La Junta,2411574,Civil,Otero,CO,375844N,1033250W,4124,La Junta,,11-MAR-2008
City of Lafayette,2411592,Civil,Boulder,CO,395942N,1050559W,5266,Lafayette,,11-MAR-2008
City of Lakewood,2411614,Civil,Jefferson,CO,394152N,1050700W,5656,Fort Logan,,11-MAR-2008
City of Lamar,2411617,Civil,Prowers,CO,380426N,1023655W,3638,Lamar East,,11-MAR-2008
City of Las Animas,2411628,Civil,Bent,CO,380410N,1031325W,3898,Las Animas,,11-MAR-2008
City of Leadville,2411641,Civil,Lake,CO,391450N,1061736W,10118,Leadville South,,11-MAR-2008
City of Littleton,2410845,Civil,Arapahoe,CO,393530N,1050108W,5397,Littleton,,11-MAR-2008
City of Lone Tree,2410864,Civil,Douglas,CO,393151N,1045215W,6001,Parker,,11-MAR-2008
City of Longmont,2410869,Civil,Boulder,CO,401007N,1050602W,4984,Longmont,,11-MAR-2008
City of Louisville,2410884,Civil,Boulder,CO,395815N,1050839W,5400,Louisville,,11-MAR-2008
City of Loveland,2410886,Civil,Larimer,CO,402500N,1050344W,4997,Loveland,,11-MAR-2008
City of Manitou Springs,2411021,Civil,El Paso,CO,385127N,1045446W,6299,Manitou Springs,,11-MAR-2008
City of Monte Vista,2411143,Civil,Rio Grande,CO,373444N,1060900W,7664,Monte Vista,,11-MAR-2008
City of Montrose,2411151,Civil,Montrose,CO,382808N,1075133W,5860,Montrose East,,11-MAR-2008
City of Northglenn,2411280,Civil,Adams,CO,395439N,1045842W,5367,Eastlake,,11-MAR-2008
City of Ouray,2411342,Civil,Ouray,CO,380139N,1074024W,7690,Ouray,,11-MAR-2008
City of Pueblo,2411501,Civil,Pueblo,CO,381614N,1043640W,4665,Northeast Pueblo,,11-MAR-2008
City of Rifle,2410947,Civil,Garfield,CO,393210N,1074623W,5515,Rifle,,11-MAR-2008
City of Rocky Ford,2410983,Civil,Otero,CO,380300N,1034321W,4186,Rocky Ford,,11-MAR-2008
City of Salida,2411766,Civil,Chaffee,CO,383148N,1055953W,7093,Salida East,,11-MAR-2008
City of Sheridan,2411885,Civil,Arapahoe,CO,393849N,1050105W,5285,Fort Logan,,11-MAR-2008
City of Steamboat Springs,2411976,Civil,Routt,CO,402840N,1064927W,6867,Steamboat Springs,,11-MAR-2008
City of Sterling,2411978,Civil,Logan,CO,403714N,1031133W,3930,Sterling South,,11-MAR-2008
City of Thornton,2412064,Civil,Adams,CO,395511N,1045638W,5210,Eastlake,,11-MAR-2008
City of Trinidad,2412094,Civil,Las Animas,CO,371030N,1042927W,6027,Trinidad East,,11-MAR-2008
City of Victor,2412153,Civil,Teller,CO,384231N,1050831W,9642,Cripple Creek South,,11-MAR-2008
City of Walsenburg,2412176,Civil,Huerfano,CO,373750N,1044654W,6306,Walsenburg North,,11-MAR-2008
City of Westminster,2412237,Civil,Jefferson,CO,395301N,1050345W,5325,Lafayette,,11-MAR-2008
City of Wheat Ridge,2412248,Civil,Jefferson,CO,394622N,1050610W,5348,Arvada,,11-MAR-2008
City of Woodland Park,2412303,Civil,Teller,CO,385955N,1050334W,8494,Woodland Park,,11-MAR-2008
City of Wray,2412310,Civil,Yuma,CO,400449N,1021342W,3524,Wray,,11-MAR-2008
City of Yuma,2412329,Civil,Yuma,CO,400726N,1024258W,4131,Yuma South,,11-MAR-2008
Clear Creek County,198125,Civil,Clear Creek,CO,394121N,1053840W,9521,Georgetown,,01-FEB-1993
Clifton Division,1935426,Civil,Mesa,CO,390529N,1082548W,4705,Clifton,,26-SEP-2001
Cochetopa Division,1935427,Civil,Saguache,CO,381459N,1064408W,9055,Cochetopa Park,,26-SEP-2001
Collbran Division,1935428,Civil,Mesa,CO,391123N,1075339W,7506,Collbran,,26-SEP-2001
Colorado City-Rye Division,1935429,Civil,Pueblo,CO,375852N,1044828W,5791,Colorado City,,26-SEP-2001
Colorado Springs Division,1935430,Civil,El Paso,CO,385150N,1044708W,6293,Colorado Springs,,26-SEP-2001
Commerce City Division,1935431,Civil,Adams,CO,394949N,1045241W,5194,Commerce City,,26-SEP-2001
Conejos County,198126,Civil,Conejos,CO,371202N,1061130W,8520,Vicente Canyon,,01-FEB-1993
Cope Division,1935433,Civil,Washington,CO,394610N,1030011W,4580,Elba SE,,26-SEP-2001
Cortez Division,1935434,Civil,Montezuma,CO,372211N,1084230W,6568,Mud Creek,,26-SEP-2001
Costilla County,198127,Civil,Costilla,CO,371641N,1052542W,8061,Fort Garland SW,,01-FEB-1993
Cotopaxi Division,1935435,Civil,Fremont,CO,382930N,1053609W,8356,Echo,,26-SEP-2001
Craig Division,1935436,Civil,Moffat,CO,403444N,1073944W,6745,Pine Ridge,,26-SEP-2001
Creede Division,1935437,Civil,Mineral,CO,374008N,1065527W,11778,Spar City,,26-SEP-2001
Crested Butte Division,1935438,Civil,Gunnison,CO,385219N,1065429W,8963,Crested Butte,,26-SEP-2001
Cripple Creek Division,1935439,Civil,Teller,CO,384421N,1050820W,10561,Cripple Creek South,,26-SEP-2001
Crook Division,1935440,Civil,Logan,CO,405433N,1024913W,3816,Twin Buttes,,26-SEP-2001
Crowley County,198128,Civil,Crowley,CO,381936N,1034705W,4560,Nero Hill,,01-FEB-1993
Custer County,198129,Civil,Custer,CO,380631N,1052203W,8943,Rosita,,01-FEB-1993
De Beque Division,1935441,Civil,Mesa,CO,391625N,1082007W,5640,Wagon Track Ridge,,26-SEP-2001
Del Norte Division,1935442,Civil,Rio Grande,CO,373527N,1062944W,9741,Horseshoe Mountain,,26-SEP-2001
Delta County,198130,Civil,Delta,CO,385141N,1075146W,6279,Lazear,,01-FEB-1993
Delta Division,1935443,Civil,Delta,CO,384520N,1080820W,4918,Point Creek,,26-SEP-2001
Denver County,198131,Civil,Denver,CO,394544N,1045233W,5285,Commerce City,,01-FEB-1993
Denver Division,1935444,Civil,Denver,CO,394544N,1045233W,5285,Commerce City,,26-SEP-2001
Dinosaur Division,1935399,Civil,Moffat,CO,402039N,1083754W,6611,Skull Creek,,26-SEP-2001
Divide Division,1935445,Civil,Teller,CO,385844N,1051038W,9114,Divide,,26-SEP-2001
Dolores County,198132,Civil,Dolores,CO,374506N,1083102W,8133,Glade Mountain,,01-FEB-1993
Dolores Division,1935446,Civil,Montezuma,CO,373243N,1082035W,7999,Stoner,,26-SEP-2001
Douglas County,198133,Civil,Douglas,CO,391947N,1045546W,6384,Dawson Butte,,01-FEB-1993
Dove Creek Division,1935447,Civil,Dolores,CO,374344N,1085440W,6640,Champagne Spring,,26-SEP-2001
Durango Division,1935448,Civil,La Plata,CO,372514N,1075318W,8458,Monument Hill,,26-SEP-2001
Durango High School District,1794965,Civil,La Plata,CO,371635N,1075244W,6535,Durango West,,18-MAY-1998
Durango Southwest Division,1935449,Civil,La Plata,CO,370615N,1080137W,6850,Pinkerton Mesa,,26-SEP-2001
Eads Division,1935450,Civil,Kiowa,CO,382631N,1024912W,4245,Eads,,26-SEP-2001
Eagle County,198134,Civil,Eagle,CO,393740N,1064143W,8419,Wolcott,,01-FEB-1993
Eagle-Gypsum Division,1935451,Civil,Eagle,CO,394236N,1064821W,8297,Eagle,,26-SEP-2001
East Adams Division,1935452,Civil,Adams,CO,395213N,1040938W,4947,Leader SW,,26-SEP-2001
East Arapahoe Division,1935453,Civil,Arapahoe,CO,393915N,1041312W,5325,Byers,,26-SEP-2001
El Paso County,198135,Civil,El Paso,CO,384956N,1043132W,6361,Corral Bluffs,,01-FEB-1993
Elbert County,198136,Civil,Elbert,CO,391712N,1040809W,5909,Bijou SW,,01-FEB-1993
Elizabeth Division,1935455,Civil,Elbert,CO,392132N,1042654W,6489,Kiowa,,26-SEP-2001
Elsmere Division,1935456,Civil,El Paso,CO,385329N,1043802W,6657,Falcon NW,,26-SEP-2001
Erie-Frederick Division,1935457,Civil,Weld,CO,400518N,1045804W,4977,Frederick,,26-SEP-2001
Estes Park Division,1935458,Civil,Larimer,CO,402344N,1053319W,8379,Estes Park,,26-SEP-2001
Fairplay Division,1935459,Civil,Park,CO,391528N,1054644W,9613,Milligan Lakes,,26-SEP-2001
Flagler Division,1935460,Civil,Kit Carson,CO,391811N,1025702W,4810,Flagler Reservoir,,26-SEP-2001
Fleming Division,1935461,Civil,Logan,CO,403706N,1025440W,4334,Leroy,,26-SEP-2001
Florence Division,1935462,Civil,Fremont,CO,381947N,1050909W,5666,Rockvale,,26-SEP-2001
Fort Collins Division,1935463,Civil,Larimer,CO,403458N,1050627W,5052,Fort Collins,,26-SEP-2001
Fort Lupton Division,1935464,Civil,Weld,CO,400426N,1044920W,4898,Fort Lupton,,26-SEP-2001
Fort Morgan Division,1935465,Civil,Morgan,CO,401809N,1034919W,4449,Fort Morgan,,26-SEP-2001
Fountain Division,1935466,Civil,El Paso,CO,383737N,1044522W,5627,Cheyenne Mountain,,26-SEP-2001
Fowler Division,1935467,Civil,Otero,CO,380700N,1040045W,4347,Hardesty Reservoir,,26-SEP-2001
Fremont County,198137,Civil,Fremont,CO,382823N,1052623W,6384,McIntyre Hills,,01-FEB-1993
Fruita Division,1935468,Civil,Mesa,CO,391448N,1084612W,4695,Mack,,26-SEP-2001
Gardner Division,1935469,Civil,Huerfano,CO,374720N,1051442W,7434,Gardner,,26-SEP-2001
Garfield County,198138,Civil,Garfield,CO,393558N,1075414W,8989,Anvil Points,,01-FEB-1993
Georgetown Division,1935470,Civil,Clear Creek,CO,394200N,1054456W,10026,Georgetown,,26-SEP-2001
Gilpin County,198139,Civil,Gilpin,CO,395127N,1053121W,9577,Central City,,01-FEB-1993
Glade Park-Gateway Division,1935472,Civil,Mesa,CO,384751N,1084446W,9071,Snyder Flats,,26-SEP-2001
Glenwood Springs Division,1935473,Civil,Garfield,CO,394334N,1071450W,10522,Broken Rib Creek,,26-SEP-2001
Golden Division,1935474,Civil,Jefferson,CO,394726N,1051738W,7346,Ralston Buttes,,26-SEP-2001
